,date,region_code,region,recovered,active_cases,deceased,cases
71,2020-12-17,4,Menorca,762.0,179.0,15.0,955.0
71,2020-12-17,3,Mallorca,19202.0,4896.0,398.0,24469.0
71,2020-12-17,0,total-balears,23435.0,5512.0,440.0,29336.0
71,2020-12-17,2,Formentera,158.0,49.0,1.0,208.0
72,2020-12-18,0,total-balears,23435.0,5512.0,440.0,29336.0
72,2020-12-18,1,Eivissa,3313.0,388.0,26.0,3704.0
72,2020-12-18,2,Formentera,158.0,49.0,1.0,208.0
72,2020-12-18,3,Mallorca,19202.0,4896.0,398.0,24469.0
72,2020-12-18,4,Menorca,762.0,179.0,15.0,955.0
73,2020-12-19,0,total-balears,23435.0,5512.0,440.0,29336.0
73,2020-12-19,3,Mallorca,19202.0,4896.0,398.0,24469.0
73,2020-12-19,1,Eivissa,3313.0,388.0,26.0,3704.0
73,2020-12-19,2,Formentera,158.0,49.0,1.0,208.0
73,2020-12-19,4,Menorca,762.0,179.0,15.0,955.0
74,2020-12-20,0,total-balears,24042.0,6290.0,445.0,30726.0
74,2020-12-20,1,Eivissa,3329.0,408.0,26.0,3740.0
74,2020-12-20,3,Mallorca,19770.0,5660.0,403.0,25806.0
74,2020-12-20,2,Formentera,160.0,57.0,1.0,218.0
74,2020-12-20,4,Menorca,783.0,165.0,15.0,962.0
75,2020-12-21,1,Eivissa,3342.0,417.0,26.0,3762.0
75,2020-12-21,4,Menorca,792.0,158.0,15.0,964.0
75,2020-12-21,3,Mallorca,20001.0,5892.0,408.0,26275.0
75,2020-12-21,0,total-balears,24304.0,6524.0,450.0,31228.0
75,2020-12-21,2,Formentera,169.0,57.0,1.0,227.0
76,2020-12-22,2,Formentera,170.0,60.0,1.0,231.0
76,2020-12-22,1,Eivissa,3345.0,436.0,26.0,3784.0
76,2020-12-22,4,Menorca,801.0,157.0,15.0,972.0
76,2020-12-22,3,Mallorca,20304.0,6031.0,408.0,26717.0
76,2020-12-22,0,total-balears,24620.0,6684.0,450.0,31704.0
77,2020-12-23,2,Formentera,170.0,60.0,1.0,231.0
77,2020-12-23,3,Mallorca,20304.0,6031.0,408.0,26717.0
77,2020-12-23,4,Menorca,801.0,157.0,15.0,972.0
77,2020-12-23,0,total-balears,24620.0,6684.0,450.0,31704.0
77,2020-12-23,1,Eivissa,3345.0,436.0,26.0,3784.0
78,2020-12-24,4,Menorca,801.0,157.0,15.0,972.0
78,2020-12-24,0,total-balears,24620.0,6684.0,450.0,31704.0
78,2020-12-24,2,Formentera,170.0,60.0,1.0,231.0
78,2020-12-24,3,Mallorca,20304.0,6031.0,408.0,26717.0
78,2020-12-24,1,Eivissa,3345.0,436.0,26.0,3784.0
79,2020-12-25,2,Formentera,170.0,60.0,1.0,231.0
79,2020-12-25,4,Menorca,801.0,157.0,15.0,972.0
79,2020-12-25,3,Mallorca,20304.0,6031.0,408.0,26717.0
79,2020-12-25,1,Eivissa,3345.0,436.0,26.0,3784.0
79,2020-12-25,0,total-balears,24620.0,6684.0,450.0,31704.0
80,2020-12-26,1,Eivissa,3345.0,436.0,26.0,3784.0
80,2020-12-26,2,Formentera,170.0,60.0,1.0,231.0
80,2020-12-26,4,Menorca,801.0,157.0,15.0,972.0
80,2020-12-26,3,Mallorca,20304.0,6031.0,408.0,26717.0
80,2020-12-26,0,total-balears,24620.0,6684.0,450.0,31704.0
81,2020-12-27,1,Eivissa,3385.0,446.0,27.0,3835.0
81,2020-12-27,2,Formentera,185.0,72.0,2.0,259.0
