,date,region_code,region,cases,recovered,active_cases,deceased
45,2020-11-21,07050,Sant Joan de Labritja,54.0,47.0,8.0,0.0
45,2020-11-21,07048,Sant Josep de sa Talaia,483.0,426.0,57.0,1.0
45,2020-11-21,07046,Sant Antoni de Portmany,565.0,470.0,93.0,5.0
45,2020-11-21,07026,Eivissa,1662.0,1452.0,210.0,9.0
45,2020-11-21,07054,Santa Eulària des Riu,524.0,428.0,94.0,11.0
46,2020-11-22,07050,Sant Joan de Labritja,54.0,47.0,8.0,0.0
46,2020-11-22,07048,Sant Josep de sa Talaia,486.0,435.0,51.0,1.0
46,2020-11-22,0,total-eivissa,3322.0,2880.0,439.0,26.0
46,2020-11-22,07054,Santa Eulària des Riu,527.0,443.0,82.0,11.0
46,2020-11-22,07026,Eivissa,1682.0,1480.0,202.0,9.0
46,2020-11-22,07046,Sant Antoni de Portmany,573.0,475.0,96.0,5.0
47,2020-11-23,07026,Eivissa,1682.0,1480.0,202.0,9.0
47,2020-11-23,07048,Sant Josep de sa Talaia,486.0,435.0,51.0,1.0
47,2020-11-23,07046,Sant Antoni de Portmany,573.0,475.0,96.0,5.0
47,2020-11-23,07054,Santa Eulària des Riu,527.0,443.0,82.0,11.0
47,2020-11-23,07050,Sant Joan de Labritja,54.0,47.0,8.0,0.0
47,2020-11-23,0,total-eivissa,3322.0,2880.0,439.0,26.0
48,2020-11-24,07026,Eivissa,1682.0,1480.0,202.0,9.0
48,2020-11-24,07046,Sant Antoni de Portmany,573.0,475.0,96.0,5.0
48,2020-11-24,07050,Sant Joan de Labritja,54.0,47.0,8.0,0.0
48,2020-11-24,07054,Santa Eulària des Riu,527.0,443.0,82.0,11.0
48,2020-11-24,07048,Sant Josep de sa Talaia,486.0,435.0,51.0,1.0
48,2020-11-24,0,total-eivissa,3322.0,2880.0,439.0,26.0
49,2020-11-25,0,total-eivissa,3322.0,2880.0,439.0,26.0
49,2020-11-25,07050,Sant Joan de Labritja,54.0,47.0,8.0,0.0
49,2020-11-25,07054,Santa Eulària des Riu,527.0,443.0,82.0,11.0
49,2020-11-25,07046,Sant Antoni de Portmany,573.0,475.0,96.0,5.0
49,2020-11-25,07026,Eivissa,1682.0,1480.0,202.0,9.0
49,2020-11-25,07048,Sant Josep de sa Talaia,486.0,435.0,51.0,1.0
50,2020-11-26,07050,Sant Joan de Labritja,54.0,47.0,8.0,0.0
50,2020-11-26,07054,Santa Eulària des Riu,527.0,443.0,82.0,11.0
50,2020-11-26,07046,Sant Antoni de Portmany,573.0,475.0,96.0,5.0
50,2020-11-26,07026,Eivissa,1682.0,1480.0,202.0,9.0
50,2020-11-26,07048,Sant Josep de sa Talaia,486.0,435.0,51.0,1.0
50,2020-11-26,0,total-eivissa,3322.0,2880.0,439.0,26.0
51,2020-11-27,07048,Sant Josep de sa Talaia,486.0,435.0,51.0,1.0
51,2020-11-27,07054,Santa Eulària des Riu,527.0,443.0,82.0,11.0
51,2020-11-27,07050,Sant Joan de Labritja,54.0,47.0,8.0,0.0
51,2020-11-27,07046,Sant Antoni de Portmany,573.0,475.0,96.0,5.0
51,2020-11-27,0,total-eivissa,3322.0,2880.0,439.0,26.0
51,2020-11-27,07026,Eivissa,1682.0,1480.0,202.0,9.0
52,2020-11-28,0,total-eivissa,3322.0,2880.0,439.0,26.0
52,2020-11-28,07054,Santa Eulària des Riu,527.0,443.0,82.0,11.0
52,2020-11-28,07046,Sant Antoni de Portmany,573.0,475.0,96.0,5.0
52,2020-11-28,07050,Sant Joan de Labritja,54.0,47.0,8.0,0.0
52,2020-11-28,07026,Eivissa,1682.0,1480.0,202.0,9.0
52,2020-11-28,07048,Sant Josep de sa Talaia,486.0,435.0,51.0,1.0
53,2020-11-29,0,total-eivissa,3424.0,3038.0,383.0,26.0
53,2020-11-29,07026,Eivissa,1733.0,1547.0,186.0,9.0
53,2020-11-29,07054,Santa Eulària des Riu,555.0,471.0,82.0,11.0
53,2020-11-29,07048,Sant Josep de sa Talaia,497.0,459.0,38.0,1.0
53,2020-11-29,07046,Sant Antoni de Portmany,584.0,510.0,72.0,5.0
53,2020-11-29,07050,Sant Joan de Labritja,55.0,51.0,5.0,0.0
54,2020-11-30,07050,Sant Joan de Labritja,56.0,51.0,6.0,0.0
54,2020-11-30,0,total-eivissa,3438.0,3050.0,385.0,26.0
54,2020-11-30,07046,Sant Antoni de Portmany,586.0,513.0,71.0,5.0
54,2020-11-30,07054,Santa Eulària des Riu,559.0,472.0,85.0,11.0
54,2020-11-30,07026,Eivissa,1737.0,1555.0,182.0,9.0
54,2020-11-30,07048,Sant Josep de sa Talaia,500.0,459.0,41.0,1.0
55,2020-12-01,07026,Eivissa,1741.0,1559.0,182.0,9.0
55,2020-12-01,07054,Santa Eulària des Riu,565.0,475.0,88.0,11.0
55,2020-12-01,07048,Sant Josep de sa Talaia,500.0,459.0,41.0,1.0
55,2020-12-01,0,total-eivissa,3451.0,3058.0,390.0,26.0
55,2020-12-01,07050,Sant Joan de Labritja,56.0,51.0,6.0,0.0
55,2020-12-01,07046,Sant Antoni de Portmany,589.0,514.0,73.0,5.0
56,2020-12-02,0,total-eivissa,3468.0,3077.0,388.0,26.0
56,2020-12-02,07048,Sant Josep de sa Talaia,504.0,461.0,43.0,1.0
56,2020-12-02,07050,Sant Joan de Labritja,56.0,51.0,6.0,0.0
56,2020-12-02,07046,Sant Antoni de Portmany,591.0,521.0,68.0,5.0
56,2020-12-02,07026,Eivissa,1747.0,1565.0,182.0,9.0
