date,region_code,region,cases,recovered,active_cases,deceased,tp7d,hospitalized,intensivecare
2020-04-23,3,Eivissa,137,0,0,0,0.00909090909090909,nan,nan
2020-04-23,4,Formentera,7,0,0,0,0,nan,nan
2020-04-23,0,total-balears,2003,0,0,0,0.02656164132625023,nan,nan
2020-04-24,1,Mallorca,1704,0,0,0,0.018522054611418752,nan,nan
2020-04-24,2,Menorca,93,0,0,0,0.006535947712418301,nan,nan
2020-04-24,3,Eivissa,137,0,0,0,0.004819277108433735,nan,nan
2020-04-24,4,Formentera,7,0,0,0,0,nan,nan
2020-04-24,0,total-balears,2016,0,0,0,0.017349397590361446,nan,nan
2020-04-25,1,Mallorca,1713,0,0,0,0.017604355716878402,nan,nan
2020-04-25,2,Menorca,93,0,0,0,0.006024096385542169,nan,nan
2020-04-25,3,Eivissa,139,0,0,0,0.009615384615384616,nan,nan
2020-04-25,4,Formentera,7,0,0,0,0,nan,nan
2020-04-25,0,total-balears,2028,0,0,0,0.016722921141454433,nan,nan
2020-04-26,1,Mallorca,1718,0,0,0,0.013462202278218847,nan,nan
2020-04-26,2,Menorca,93,0,0,0,0.00510204081632653,nan,nan
2020-04-26,3,Eivissa,140,0,0,0,0.008528784648187633,nan,nan
2020-04-26,4,Formentera,7,0,0,0,0,nan,nan
2020-04-26,0,total-balears,2034,0,0,0,0.012853841709994223,nan,nan
2020-04-27,1,Mallorca,1725,0,0,0,0.011391625615763547,nan,nan
2020-04-27,2,Menorca,93,0,0,0,0.001941747572815534,nan,nan
2020-04-27,3,Eivissa,140,0,0,0,0.008316008316008316,nan,nan
2020-04-27,4,Formentera,7,0,0,0,0,nan,nan
2020-04-27,0,total-balears,2041,0,0,0,0.01081220234264384,nan,nan
2020-04-28,1,Mallorca,1730,0,0,0,0.009114385538508279,nan,nan
2020-04-28,2,Menorca,93,0,0,0,0.001841620626151013,nan,nan
2020-04-28,3,Eivissa,140,0,0,0,0.005825242718446602,nan,nan
2020-04-28,4,Formentera,7,0,0,0,0,nan,nan
2020-04-28,0,total-balears,2047,0,0,0,0.008706624605678233,nan,nan
2020-04-29,1,Mallorca,1737,0,0,0,0.007975797579757976,nan,nan
2020-04-29,2,Menorca,93,0,0,0,0,nan,nan
2020-04-29,3,Eivissa,140,0,0,0,0.00487012987012987,nan,nan
2020-04-29,4,Formentera,7,0,0,0,0,nan,nan
2020-04-29,0,total-balears,2056,0,0,0,0.007577471160370957,nan,nan
2020-04-30,1,Mallorca,1745,0,0,0,0.007180598834846227,nan,nan
2020-04-30,2,Menorca,93,0,0,0,0,nan,nan
2020-04-30,3,Eivissa,140,0,0,0,0.0045662100456621,nan,nan
2020-04-30,4,Formentera,7,0,0,0,0,nan,nan
2020-04-30,0,total-balears,2064,0,0,0,0.006732891832229581,nan,nan
2020-05-01,1,Mallorca,1752,0,0,0,0.0067882901994060245,nan,nan
2020-05-01,2,Menorca,93,0,0,0,0,nan,nan
2020-05-01,3,Eivissa,140,0,0,0,0.005454545454545455,nan,nan
2020-05-01,4,Formentera,7,0,0,0,0,nan,nan
2020-05-01,0,total-balears,2073,0,0,0,0.006627906976744186,nan,nan
2020-05-02,1,Mallorca,1753,0,0,0,0.005499037668408029,nan,nan
2020-05-02,2,Menorca,93,0,0,0,0,nan,nan
2020-05-02,3,Eivissa,140,0,0,0,0.0019880715705765406,nan,nan
2020-05-02,4,Formentera,7,0,0,0,0,nan,nan
2020-05-02,0,total-balears,2074,0,0,0,0.005268583209254381,nan,nan
2020-05-03,1,Mallorca,1755,0,0,0,0.005313801522332328,nan,nan
2020-05-03,2,Menorca,94,0,0,0,0.0015037593984962407,nan,nan
2020-05-03,3,Eivissa,140,0,0,0,0,nan,nan
2020-05-03,4,Formentera,7,0,0,0,0,nan,nan
2020-05-03,0,total-balears,2077,0,0,0,0.005081541006854172,nan,nan
2020-05-04,1,Mallorca,1759,0,0,0,0.005345911949685534,nan,nan
2020-05-04,2,Menorca,95,0,0,0,0.003048780487804878,nan,nan
2020-05-04,3,Eivissa,141,0,0,0,0.0017391304347826088,nan,nan
2020-05-04,4,Formentera,7,0,0,0,0,nan,nan
2020-05-04,0,total-balears,2083,0,0,0,0.005275719130762467,nan,nan
2020-05-05,1,Mallorca,1764,0,0,0,0.005043013942450311,nan,nan
2020-05-05,2,Menorca,96,0,0,0,0.003605769230769231,nan,nan
2020-05-05,3,Eivissa,141,0,0,0,0.001567398119122257,nan,nan
2020-05-05,4,Formentera,7,0,0,0,0,nan,nan
2020-05-05,0,total-balears,2089,0,0,0,0.004874651810584958,nan,nan
2020-05-06,1,Mallorca,1771,0,0,0,0.005009577132753794,nan,nan
2020-05-06,2,Menorca,96,0,0,0,0.0034207525655644243,nan,nan
2020-05-06,3,Eivissa,141,0,0,0,0.001379310344827586,nan,nan
2020-05-06,4,Formentera,7,0,0,0,0,nan,nan
2020-05-06,0,total-balears,2096,0,0,0,0.004532064355313846,nan,nan
2020-05-07,1,Mallorca,1779,0,0,0,0.004708489128929511,nan,nan
2020-05-07,2,Menorca,96,0,0,0,0.002909796314258002,nan,nan
2020-05-07,3,Eivissa,141,0,0,0,0.001218026796589525,nan,nan
2020-05-07,4,Formentera,7,0,0,0,0,nan,nan
2020-05-07,0,total-balears,2105,0,0,0,0.0043067226890756306,nan,nan
2020-05-08,1,Mallorca,1788,0,0,0,0.004713275726630008,nan,nan
2020-05-08,2,Menorca,96,0,0,0,0.0026431718061674008,nan,nan
2020-05-08,3,Eivissa,143,0,0,0,0.002944062806673209,nan,nan
2020-05-08,4,Formentera,7,0,0,0,0,nan,nan
2020-05-08,0,total-balears,2117,0,0,0,0.004280988519167153,nan,nan
2020-05-09,1,Mallorca,1796,0,0,0,0.005309953074833292,nan,nan
2020-05-09,2,Menorca,96,0,0,0,0.0024855012427506215,nan,nan
2020-05-09,3,Eivissa,143,0,0,0,0.0026019080659150044,nan,nan
2020-05-09,4,Formentera,7,0,0,0,0,nan,nan
2020-05-09,0,total-balears,2125,0,0,0,0.0046279491833030855,nan,nan
2020-05-10,1,Mallorca,1798,0,0,0,0.0050594187551476644,nan,nan
2020-05-10,2,Menorca,96,0,0,0,0.0017391304347826088,nan,nan
2020-05-10,3,Eivissa,143,0,0,0,0.002457002457002457,nan,nan
2020-05-10,4,Formentera,7,0,0,0,0,nan,nan
2020-05-10,0,total-balears,2127,0,0,0,0.004370629370629371,nan,nan
2020-05-11,1,Mallorca,1807,0,0,0,0.005575560459983738,nan,nan
2020-05-11,2,Menorca,96,0,0,0,0.0008968609865470852,nan,nan
2020-05-11,3,Eivissa,143,0,0,0,0.0015503875968992248,nan,nan
